보안등위치명,설치개수,소재지도로명주소,소재지지번주소
연남동 05-80,1,서울특별시 마포구 성미산로32길 25,
연남동 05-82,1,서울특별시 마포구 동교로 256-4,
연남동 05-83,1,서울특별시 마포구 성미산로 190-14,
연남동 05-84,1,서울특별시 마포구 동교로 246,
연남동 05-85,1,서울특별시 마포구 동교로 262-10,
연남동 05-86,1,서울특별시 마포구 동교로38길 7,
연남동 05-87,1,서울특별시 마포구 동교로38길 33-12,
연남동 05-88,1,서울특별시 마포구 동교로38안길 24,
연남동 05-89,1,서울특별시 마포구 성미산로32길 24,
연남동 05-90,1,서울특별시 마포구 연희로 37,
연남동 05-94,1,서울특별시 마포구 연희로1길 57,
연남동 05-94,1,서울특별시 마포구 동교로 236,
연남동 05-95,1,서울특별시 마포구 동교로 238-1,
연남동 05-96,1,서울특별시 마포구 동교로 242,
연남동 05-97,1,서울특별시 마포구 동교로 244-1,
연남동 05-98,1,서울특별시 마포구 동교로 248-1,
연남동 05-99,1,서울특별시 마포구 동교로 250,
연남동 06-07,1,서울특별시 마포구 연남로 93,서울특별시 마포구 연남동 361-14
연남동 06-08,1,서울특별시 마포구 성미산로19길 108,서울특별시 마포구 연남동 361-35
연남동 06-09,1,서울특별시 마포구 성미산로19길 102 성운타운,서울특별시 마포구 연남동 361-20
연남동 06-10,1,서울특별시 마포구 성미산로19길 93,서울특별시 마포구 연남동 480-13
연남동 06-11,1,,서울특별시 마포구 연남동 364-1
연남동 06-12,1,서울특별시 마포구 연남로11길 22 연우럭스빌라,서울특별시 마포구 연남동 364-19
연남동 06-13,1,서울특별시 마포구 연남로11길 15,서울특별시 마포구 연남동 478-10
연남동 06-14,1,서울특별시 마포구 연남로11길 10 신명하우스,서울특별시 마포구 연남동 364-24
연남동 06-15,1,서울특별시 마포구 연남로 73-6,서울특별시 마포구 연남동 365-8
연남동 06-16,1,서울특별시 마포구 연남로 79,서울특별시 마포구 연남동 364-25
연남동 06-18,1,,서울특별시 마포구 연남동 361-41
연남동 06-19,1,서울특별시 마포구 성미산로19길 94 민우주택,서울특별시 마포구 연남동 361-47
연남동 06-24,1,서울특별시 마포구 연남로 73,서울특별시 마포구 연남동 365-16
연남동 06-25,1,서울특별시 마포구 연남로 67 이조빌라,서울특별시 마포구 연남동 366-2
연남동 06-26,1,서울특별시 마포구 연남로9길 9 백운맨션,서울특별시 마포구 연남동 366-1
